# E_meas, sigma_obs(nb), sigma_err(nb)
2.80000000e+00,7.78972222e+01,3.28923375e-01
2.82499091e+00,7.68569444e+01,3.26719691e-01
2.84998182e+00,7.53291667e+01,3.23456091e-01
2.87497273e+00,7.39208333e+01,3.20418202e-01
2.89996364e+00,7.27597222e+01,3.17891758e-01
2.92495455e+00,7.12750000e+01,3.14631619e-01
2.94994545e+00,6.96000000e+01,3.10912635e-01
2.97493636e+00,6.86305556e+01,3.08739722e-01
2.99992727e+00,6.76222222e+01,3.06463298e-01
3.02491818e+00,6.69986111e+01,3.05046925e-01
3.04990909e+00,6.54430556e+01,3.01484880e-01
3.07490000e+00,6.47500000e+01,2.99884237e-01
3.07490000e+00,6.51180556e+01,3.00735339e-01
3.07526975e+00,6.45847222e+01,2.99501257e-01
3.07563950e+00,6.45791667e+01,2.99488375e-01
3.07600924e+00,6.49194444e+01,3.00276364e-01
3.07637899e+00,6.43583333e+01,2.98975875e-01
3.07674874e+00,6.45652778e+01,2.99456169e-01
3.07711849e+00,6.44125000e+01,2.99101664e-01
3.07748824e+00,6.41958333e+01,2.98598191e-01
3.07785798e+00,6.45166667e+01,2.99343417e-01
3.07822773e+00,6.44000000e+01,2.99072641e-01
3.07859748e+00,6.44597222e+01,2.99211283e-01
3.07896723e+00,6.44750000e+01,2.99246740e-01
3.07933697e+00,6.43916667e+01,2.99053290e-01
3.07970672e+00,6.46569444e+01,2.99668670e-01
3.08007647e+00,6.41944444e+01,2.98594961e-01
3.08044622e+00,6.41541667e+01,2.98501272e-01
3.08081597e+00,6.46013889e+01,2.99539899e-01
3.08118571e+00,6.41458333e+01,2.98481884e-01
3.08155546e+00,6.44972222e+01,2.99298305e-01
3.08192521e+00,6.39750000e+01,2.98084160e-01
3.08229496e+00,6.45402778e+01,2.99398188e-01
3.08266471e+00,6.42444444e+01,2.98711224e-01
3.08303445e+00,6.48791667e+01,3.00183200e-01
3.08340420e+00,6.44277778e+01,2.99137134e-01
3.08377395e+00,6.49597222e+01,3.00369500e-01
3.08414370e+00,6.40416667e+01,2.98239433e-01
3.08451345e+00,6.42833333e+01,2.98801619e-01
3.08488319e+00,6.44250000e+01,2.99130685e-01
3.08525294e+00,6.49083333e+01,3.00250667e-01
3.08562269e+00,6.47638889e+01,2.99916398e-01
3.08599244e+00,6.50763889e+01,3.00639108e-01
3.08636218e+00,6.52138889e+01,3.00956551e-01
3.08673193e+00,6.52013889e+01,3.00927707e-01
3.08710168e+00,6.57027778e+01,3.02082535e-01
3.08747143e+00,6.55680556e+01,3.01772669e-01
3.08784118e+00,6.60402778e+01,3.02857405e-01
3.08821092e+00,6.67458333e+01,3.04470928e-01
3.08858067e+00,6.64347222e+01,3.03760510e-01
3.08895042e+00,6.91597222e+01,3.09927685e-01
3.08932017e+00,6.81597222e+01,3.07678860e-01
3.08968992e+00,6.83875000e+01,3.08192535e-01
3.09005966e+00,6.97097222e+01,3.11157611e-01
3.09042941e+00,7.11500000e+01,3.14355602e-01
3.09079916e+00,7.17500000e+01,3.15678282e-01
3.09116891e+00,7.27208333e+01,3.17806793e-01
3.09153866e+00,7.26194444e+01,3.17585169e-01
3.09190840e+00,7.48222222e+01,3.22365868e-01
3.09227815e+00,7.53708333e+01,3.23545535e-01
3.09264790e+00,7.66402778e+01,3.26258839e-01
3.09301765e+00,7.81416667e+01,3.29439057e-01
3.09338739e+00,7.89791667e+01,3.31199769e-01
3.09375714e+00,7.99902778e+01,3.33313078e-01
3.09412689e+00,8.26305556e+01,3.38769332e-01
3.09449664e+00,8.26250000e+01,3.38757944e-01
3.09486639e+00,8.36611111e+01,3.40875326e-01
3.09523613e+00,8.55319444e+01,3.44665588e-01
3.09560588e+00,8.46277778e+01,3.42839000e-01
3.09597563e+00,8.67138889e+01,3.47038840e-01
3.09634538e+00,8.57680556e+01,3.45140985e-01
3.09671513e+00,8.78013889e+01,3.49208209e-01
3.09708487e+00,8.78513889e+01,3.49307626e-01
3.09745462e+00,8.78319444e+01,3.49268968e-01
3.09782437e+00,8.85611111e+01,3.50715758e-01
3.09819412e+00,8.74402778e+01,3.48489355e-01
3.09856387e+00,8.78027778e+01,3.49210971e-01
3.09893361e+00,8.55500000e+01,3.44701965e-01
3.09930336e+00,8.57180556e+01,3.45040367e-01
3.09967311e+00,8.49277778e+01,3.43446134e-01
3.10004286e+00,8.48805556e+01,3.43350638e-01
3.10041261e+00,8.40902778e+01,3.41748522e-01
3.10078235e+00,8.21875000e+01,3.37859890e-01
3.10115210e+00,8.09291667e+01,3.35263509e-01
3.10152185e+00,7.99402778e+01,3.33208889e-01
3.10189160e+00,7.91902778e+01,3.31642122e-01
3.10226134e+00,7.74888889e+01,3.28060142e-01
3.10263109e+00,7.65361111e+01,3.26037044e-01
3.10300084e+00,7.58222222e+01,3.24512930e-01
3.10337059e+00,7.46986111e+01,3.22099474e-01
3.10374034e+00,7.46583333e+01,3.22012623e-01
3.10411008e+00,7.32138889e+01,3.18882356e-01
3.10447983e+00,7.17972222e+01,3.15782147e-01
3.10484958e+00,7.09430556e+01,3.13898107e-01
3.10521933e+00,7.03236111e+01,3.12524690e-01
3.10558908e+00,6.95805556e+01,3.10869202e-01
3.10595882e+00,6.91263889e+01,3.09852987e-01
3.10632857e+00,6.85277778e+01,3.08508459e-01
3.10669832e+00,6.88986111e+01,3.09342069e-01
3.10706807e+00,6.81291667e+01,3.07609887e-01
3.10743782e+00,6.79041667e+01,3.07101518e-01
3.10780756e+00,6.64138889e+01,3.03712878e-01
3.10817731e+00,6.67972222e+01,3.04588115e-01
3.10854706e+00,6.68416667e+01,3.04689429e-01
3.10891681e+00,6.62152778e+01,3.03258411e-01
3.10928655e+00,6.56444444e+01,3.01948405e-01
3.10965630e+00,6.60125000e+01,3.02793705e-01
3.11002605e+00,6.59500000e+01,3.02650330e-01
3.11039580e+00,6.63902778e+01,3.03658886e-01
3.11076555e+00,6.48055556e+01,3.00012860e-01
3.11113529e+00,6.55847222e+01,3.01811020e-01
3.11150504e+00,6.58847222e+01,3.02500510e-01
3.11187479e+00,6.48347222e+01,3.00080365e-01
3.11224454e+00,6.52652778e+01,3.01075105e-01
3.11261429e+00,6.53388889e+01,3.01244845e-01
3.11298403e+00,6.53319444e+01,3.01228836e-01
3.11335378e+00,6.52111111e+01,3.00950141e-01
3.11372353e+00,6.51944444e+01,3.00911681e-01
3.11409328e+00,6.45527778e+01,2.99427179e-01
3.11446303e+00,6.47055556e+01,2.99781299e-01
3.11483277e+00,6.51694444e+01,3.00853980e-01
3.11520252e+00,6.54611111e+01,3.01526466e-01
3.11557227e+00,6.52388889e+01,3.01014232e-01
3.11594202e+00,6.44555556e+01,2.99201613e-01
3.11631176e+00,6.38486111e+01,2.97789568e-01
3.11668151e+00,6.42333333e+01,2.98685391e-01
3.11705126e+00,6.39305556e+01,2.97980600e-01
3.11742101e+00,6.43666667e+01,2.98995231e-01
3.11779076e+00,6.48680556e+01,3.00157495e-01
3.11816050e+00,6.40819444e+01,2.98333204e-01
3.11853025e+00,6.45805556e+01,2.99491596e-01
3.11890000e+00,6.41875000e+01,2.98578810e-01
3.11890000e+00,6.41069444e+01,2.98391392e-01
3.15524667e+00,6.15138889e+01,2.92294298e-01
